GEOID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,CLASS,TYPE,LATITUDE,LONGITUDE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA geoid 1050,GEOGRAPHY*NAME_CLASS*U,Aragó,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-27,AVENOZA,,,,,,,Aragó (regne)
BITECA geoid 1051,GEOGRAPHY*NAME_CLASS*U,Santillana,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE,1990-09-27,AVENOZA,1992-10-04,AVENOZA,,,,,Santillana
BITECA geoid 1052,GEOGRAPHY*NAME_CLASS*U,Tàrrega,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-28,AVENOZA,2008-12-18,SORIANO,,,,,Tàrrega
BITECA geoid 1053,GEOGRAPHY*NAME_CLASS*U,Taranto,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-10-03,AVENOZA,,,,,,,Taranto
BITECA geoid 1054,GEOGRAPHY*NAME_CLASS*U,Jaén,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-10-05,AVENOZA,,,,,,,Jaén (província)
BITECA geoid 1055,GEOGRAPHY*NAME_CLASS*U,Granada,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-10-05,AVENOZA,,,,,,,Granada
BITECA geoid 1056,GEOGRAPHY*NAME_CLASS*U,Berkeley,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BITECA geoid 1057,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-10-05,AVENOZA,1990-10-05,AVENOZA,,,,,Berkeley
BITECA geoid 1057,GEOGRAPHY*NAME_CLASS*U,California,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-10-05,AVENOZA,1992-07-13,AVENOZA,,,,,California (estat)
BITECA geoid 1058,GEOGRAPHY*NAME_CLASS*U,Cabrera,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-10-05,AVENOZA,2024-02-02,SORIANO,,,,,Cabrera (vescomtat)
BITECA geoid 1059,GEOGRAPHY*NAME_CLASS*U,Balears,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-10-05,AVENOZA,1992-07-15,AVENOZA,,,,,Balears (illa / illes)
BITECA geoid 1060,GEOGRAPHY*NAME_CLASS*U,Empúries,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-10-05,AVENOZA,2024-02-02,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q1541699,,2024-02-02,Empúries (comtat)
BITECA geoid 1061,GEOGRAPHY*NAME_CLASS*U,Aiamans,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*P,,BITECA geoid 1014,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-10-05,AVENOZA,1999-10-22,AVENOZA,,,,,Aiamans
BITECA geoid 1062,GEOGRAPHY*NAME_CLASS*U,Gandia,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-10-11,AVENOZA,,,,,,,Gandia
BITECA geoid 1063,GEOGRAPHY*NAME_CLASS*U,Assisi,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-10-30,AVENOZA,,,,,,,Assisi
BITECA geoid 1064,GEOGRAPHY*NAME_CLASS*U,Corona d’Aragó,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-11-03,AVENOZA,2024-05-03,SORIANO,,,,,Corona d’Aragó (regne)
BITECA geoid 1065,GEOGRAPHY*NAME_CLASS*U,Sant Pere de Vilamajor,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-11-03,AVENOZA,,,,,,,Sant Pere de Vilamajor
BITECA geoid 1066,GEOGRAPHY*NAME_CLASS*U,Perpignan,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-11-03,AVENOZA,2008-11-10,AVENOZA,,,,,Perpignan
BITECA geoid 1067,GEOGRAPHY*NAME_CLASS*U,Castella,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-11-03,AVENOZA,,,,,,,Castella (regne)
BITECA geoid 1068,GEOGRAPHY*NAME_CLASS*U,Regno di Napoli,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*K,,,,,,,,,,,,GEOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 8556,,,Q173065,,,,,,,,,,,,,,,,1990-11-03,AVENOZA,2024-05-16,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q173065,,2024-02-02,Regno di Napoli (regne)
