GEOID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,CLASS,TYPE,LATITUDE,LONGITUDE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITAGAP geoid 5976,GEOGRAPHY*NAME_CLASS*U,Concelho de Pena Verde,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-10,ASKINS,2024-01-16,ASKINS,,,,,Concelho de Pena Verde (concelho - município)
BITAGAP geoid 5977,GEOGRAPHY*NAME_CLASS*U,Concelho de Carapito,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-10,ASKINS,2024-01-16,ASKINS,,,,,Concelho de Carapito (concelho - município)
BITAGAP geoid 5978,GEOGRAPHY*NAME_CLASS*U,Outeiro da Cortiçada,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 6070,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-11,ASKINS,2021-11-21,ASKINS,,,,,Outeiro da Cortiçada
BITAGAP geoid 5979,GEOGRAPHY*NAME_CLASS*U,Serra da Peneda,,,,,,,GEOGRAPHY*CLASS*T,GEOGRAPHY*TYPE*B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-12,SHARRER,2024-03-05,ASKINS,,,,,Serra da Peneda (monte - serra)
BITAGAP geoid 5980,GEOGRAPHY*NAME_CLASS*U,Mata de Motrana,,,,,,,GEOGRAPHY*CLASS*T,GEOGRAPHY*TYPE*MA,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1071,,,,,,,,,,,,,,,,,,,BITAGAP subid 1600,,,,,,,,2021-03-14,ASKINS,2024-01-13,ASKINS,,,,,Mata de Motrana (mata - floresta)
BITAGAP geoid 5981,GEOGRAPHY*NAME_CLASS*U,Concelho do Pinheiro,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-18,ASKINS,2024-01-16,ASKINS,,,,,Concelho do Pinheiro (concelho - município)
BITAGAP geoid 5982,GEOGRAPHY*NAME_CLASS*U,Ruivo de Trava,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 3969,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-18,ASKINS,2024-03-05,ASKINS,,,,,Ruivo de Trava
BITAGAP geoid 5983,GEOGRAPHY*NAME_CLASS*U,Julgado de Aguiar de Neiva,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*JUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-18,SHARRER,2024-01-15,ASKINS,,,,,Julgado de Aguiar de Neiva (julgado)
BITAGAP geoid 5984,GEOGRAPHY*NAME_CLASS*U,Julgado de Penafiel de Bastos,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*JUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-18,SHARRER,2024-01-18,ASKINS,,,,,Julgado de Penafiel de Bastos (julgado)
BITAGAP geoid 5985,GEOGRAPHY*NAME_CLASS*U,Couto de Várzia,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*COU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-18,SHARRER,2024-03-02,ASKINS,,,,,Couto de Várzia (couto)
BITAGAP geoid 5986,GEOGRAPHY*NAME_CLASS*U,Julgado de Resende,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*JUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-20,ASKINS,2024-01-18,ASKINS,,,,,Julgado de Resende (julgado)
BITAGAP geoid 5987,GEOGRAPHY*NAME_CLASS*U,Saint-Malo,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1544,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-20,SHARRER,2024-07-20,SCHAFFER,,,,,Saint-Malo
BITAGAP geoid 5988,GEOGRAPHY*NAME_CLASS*U,Sado,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-23,SHARRER,2024-01-12,ASKINS,,,,,Sado
BITAGAP geoid 5990,GEOGRAPHY*NAME_CLASS*U,Freguesia de São Lourenço de Alhos Vedros,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*FREG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28,SHARRER,2024-01-15,ASKINS,,,,,Freguesia de São Lourenço de Alhos Vedros (freguesia - paróquia civil)
