FG qid,Lpt
https://database.factgrid.de/entity/Q357956,Baleizão
https://database.factgrid.de/entity/Q357957,Baltar
https://database.factgrid.de/entity/Q357958,Balugães
https://database.factgrid.de/entity/Q357959,Bandeiras
https://database.factgrid.de/entity/Q357960,Banho e Carvalhosa
https://database.factgrid.de/entity/Q357962,Baraçal
https://database.factgrid.de/entity/Q357961,Baraçal
https://database.factgrid.de/entity/Q357963,Barão de São Miguel
https://database.factgrid.de/entity/Q357964,Barbacena e Vila Fernando
https://database.factgrid.de/entity/Q357965,Barbeita
https://database.factgrid.de/entity/Q357966,Barcarena
https://database.factgrid.de/entity/Q357967,"Barcel, Marmelos e Valverde da Gestosa"
https://database.factgrid.de/entity/Q357968,Barcelinhos
https://database.factgrid.de/entity/Q357969,Barcelos
https://database.factgrid.de/entity/Q357971,Barco
https://database.factgrid.de/entity/Q357970,Barco e Coutada
https://database.factgrid.de/entity/Q357972,Barcos e Santa Leocádia
https://database.factgrid.de/entity/Q357973,Barcouço
https://database.factgrid.de/entity/Q357975,Barqueiros
https://database.factgrid.de/entity/Q357974,Barqueiros
https://database.factgrid.de/entity/Q357977,Barrancos
https://database.factgrid.de/entity/Q357976,Barrancos
https://database.factgrid.de/entity/Q357978,Barreira
https://database.factgrid.de/entity/Q357981,Barreiro
https://database.factgrid.de/entity/Q357979,Barreiro de Besteiros e Tourigo
https://database.factgrid.de/entity/Q357980,Barreiro e Lavradio
https://database.factgrid.de/entity/Q357983,Barreiros
https://database.factgrid.de/entity/Q357982,Barreiros e Cepões
https://database.factgrid.de/entity/Q357985,Bárrio
https://database.factgrid.de/entity/Q357984,Bárrio e Cepões
https://database.factgrid.de/entity/Q357987,Barro
https://database.factgrid.de/entity/Q357986,Barrô e Aguada de Baixo
https://database.factgrid.de/entity/Q357988,Barroca
https://database.factgrid.de/entity/Q357989,Barroças e Taias
https://database.factgrid.de/entity/Q357990,Barrosa
https://database.factgrid.de/entity/Q357991,Barroselas e Carvoeiro
https://database.factgrid.de/entity/Q357993,Basto
https://database.factgrid.de/entity/Q357992,Basto (São Clemente)
https://database.factgrid.de/entity/Q357994,Batalha
https://database.factgrid.de/entity/Q357995,Batalha
https://database.factgrid.de/entity/Q357996,Beato
https://database.factgrid.de/entity/Q357997,Beça
https://database.factgrid.de/entity/Q357998,Beco
https://database.factgrid.de/entity/Q357999,Beduído e Veiros
https://database.factgrid.de/entity/Q358000,Beijós
https://database.factgrid.de/entity/Q358001,Beirã
https://database.factgrid.de/entity/Q358002,Beiral do Lima
https://database.factgrid.de/entity/Q358003,Beire
https://database.factgrid.de/entity/Q358011,Beja
https://database.factgrid.de/entity/Q358008,Beja
https://database.factgrid.de/entity/Q358004,Beja (Salvador e Santa Maria da Feira)
https://database.factgrid.de/entity/Q358006,Beja (Santiago Maior e São João Baptista)
https://database.factgrid.de/entity/Q358013,Bela
https://database.factgrid.de/entity/Q358016,"Belazaima do Chão, Castanheira do Vouga e Agadão"
https://database.factgrid.de/entity/Q358018,Belém
https://database.factgrid.de/entity/Q358019,Belinho e Mar
https://database.factgrid.de/entity/Q358021,Belmonte
https://database.factgrid.de/entity/Q358020,Belmonte e Colmeal da Torre
https://database.factgrid.de/entity/Q358023,Belver
https://database.factgrid.de/entity/Q358022,Belver e Mogo de Malta
https://database.factgrid.de/entity/Q358024,Bem Viver
https://database.factgrid.de/entity/Q358025,Bemposta
https://database.factgrid.de/entity/Q358026,Bemposta
https://database.factgrid.de/entity/Q358027,Benavente
https://database.factgrid.de/entity/Q358028,Benavente
https://database.factgrid.de/entity/Q358029,Benavila e Valongo
